id;video_category_id
1;2
2;19
3;27
4;15
5;20
6;29
7;28
8;15
9;10
10;17
11;24
12;24
13;22
14;25
15;22
16;19
17;2
18;26
19;1
20;24
21;25
22;25
23;25
24;25
25;29
26;17
27;1
28;24
29;29
30;17
31;22
32;15
33;17
34;1
35;19
36;28
37;25
38;26
39;23
40;28
41;26
42;22
43;2
44;25
45;26
46;2
47;15
48;26
49;26
50;17
51;28
52;22
53;29
54;23
55;26
56;15
57;10
58;17
59;19
60;22
61;29
62;15
63;27
64;1
65;25
66;19
67;20
68;20
69;10
70;24
71;22
72;27
73;25
74;19
75;25
76;10
77;28
78;1
79;1
80;28
81;15
82;1
83;27
84;19
85;26
86;20
87;1
88;23
89;2
90;20
91;27
92;24
93;1
94;23
95;28
96;1
97;1
98;2
99;20
100;15
101;24
102;17
103;1
104;19
105;28
106;23
107;17
108;17
109;17
110;26
111;2
112;22
113;10
114;28
115;15
116;27
117;22
118;17
119;29
120;10
121;25
122;28
123;10
124;17
125;27
126;27
127;28
128;17
129;19
130;29
131;23
132;29
133;22
134;22
135;26
136;26
137;17
138;10
139;20
140;28
141;2
142;1
143;25
144;24
145;29
146;24
147;1
148;25
149;2
150;10
151;20
152;23
153;28
154;26
155;25
156;2
157;28
158;19
159;1
160;22
161;27
162;2
163;29
164;27
165;28
166;22
167;10
168;28
169;20
170;15
171;23
172;26
173;25
174;23
175;1
176;1
177;28
178;17
179;23
180;23
181;27
182;19
183;15
184;26
185;27
186;24
187;20
188;1
189;27
190;27
191;1
192;25
193;28
194;24
195;15
196;20
197;25
198;27
199;20
200;29
201;25
202;23
203;28
204;2
205;29
206;15
207;28
208;2
209;26
210;28
211;10
212;19
213;17
214;17
215;28
216;23
217;24
218;1
219;28
220;26
221;29
222;19
223;17
224;20
225;10
226;15
227;20
228;2
229;2
230;20
231;29
232;23
233;17
234;17
235;28
236;29
237;29
238;28
239;1
240;27
241;24
242;10
243;10
244;1
245;20
246;29
247;17
248;25
249;10
250;29
251;1
252;15
253;10
254;2
255;23
256;26
257;1
258;1
259;29
260;24
261;29
262;2
263;26
264;17
265;17
266;23
267;17
268;23
269;2
270;25
271;22
272;17
273;20
274;28
275;27
276;1
277;15
278;10
279;15
280;17
281;19
282;1
283;22
284;2
285;19
286;26
287;19
288;27
289;15
290;19
291;10
292;23
293;2
294;20
295;1
296;26
297;25
298;1
299;19
300;28
301;10
302;27
303;15
304;15
305;27
306;20
307;25
308;28
309;24
310;22
311;28
312;26
313;2
314;25
315;25
316;17
317;17
318;29
319;20
320;17
321;2
322;25
323;17
324;28
325;10
326;28
327;20
328;20
329;29
330;10
331;19
332;29
333;17
334;15
335;24
336;20
337;27
338;29
339;20
340;19
341;20
342;2
343;15
344;15
345;10
346;20
347;27
348;1
349;26
350;17
351;1
352;15
353;20
354;25
355;10
356;29
357;28
358;25
359;22
360;20
361;1
362;22
363;17
364;10
365;2
366;17
367;20
368;25
369;28
370;10
371;26
372;15
373;17
374;2
375;17
376;23
377;1
378;17
379;27
380;2
381;2
382;17
383;28
384;15
385;26
386;26
387;17
388;27
389;19
390;2
391;19
392;24
393;10
394;1
395;28
396;26
397;26
398;17
399;23
400;1
401;19
402;26
403;20
404;2
405;29
406;23
407;22
408;17
409;28
410;10
411;17
412;28
413;22
414;20
415;23
416;24
417;10
418;20
419;17
420;28
421;27
422;28
423;26
424;1
425;22
426;1
427;17
428;24
429;2
430;25
431;26
432;26
433;28
434;2
435;15
436;26
437;1
438;27
439;19
440;10
441;23
442;19
443;2
444;10
445;17
446;17
447;24
448;15
449;24
450;20
451;15
452;25
453;20
454;19
455;26
456;25
457;20
458;10
459;1
460;1
461;15
462;26
463;24
