id;video_category_id
1;2
2;24
3;27
4;15
5;20
6;28
7;28
8;15
9;10
10;17
11;10
12;24
13;22
14;19
15;24
16;19
17;2
18;26
19;19
20;23
21;25
22;23
23;15
24;19
25;10
26;17
27;20
28;19
29;27
30;17
31;26
32;15
33;17
34;1
35;19
36;28
37;29
38;22
39;1
40;28
41;26
42;26
43;2
44;25
45;26
46;2
47;15
48;17
49;26
50;17
51;26
52;22
53;29
54;23
55;27
56;10
57;10
58;17
59;1
60;22
61;29
62;15
63;27
64;1
65;25
66;20
67;20
68;20
69;10
70;24
71;22
72;27
73;24
74;29
75;29
76;1
77;27
78;22
79;1
80;27
81;15
82;1
83;27
84;19
85;26
86;20
87;1
88;23
89;2
90;20
91;20
92;27
93;1
94;22
95;28
96;1
97;1
98;2
99;20
100;24
101;2
102;17
103;1
104;19
105;28
106;23
107;17
108;17
109;17
110;26
111;28
112;20
113;10
114;28
115;15
116;29
117;22
118;17
119;29
120;10
121;25
122;28
123;10
124;26
125;25
126;27
127;28
128;17
129;2
130;19
131;23
132;29
133;22
134;28
135;26
136;29
137;17
138;10
139;20
140;28
141;1
142;1
143;25
144;23
145;29
146;24
147;28
148;10
149;2
150;10
151;20
152;23
153;28
154;28
155;24
156;19
157;28
158;27
159;1
160;10
161;23
162;2
163;29
164;27
165;28
166;22
167;10
168;28
169;20
170;15
171;23
172;26
173;25
174;23
175;1
176;1
177;28
178;17
179;10
180;27
181;27
182;20
183;15
184;26
185;27
186;10
187;20
188;1
189;25
190;27
191;1
192;25
193;28
194;24
195;15
196;20
197;25
198;27
199;20
200;25
201;25
202;23
203;28
204;2
205;25
206;20
207;28
208;2
209;26
210;28
211;22
212;19
213;17
214;17
215;28
216;23
217;19
218;29
219;28
220;26
221;19
222;29
223;17
224;20
225;10
226;15
227;20
228;2
229;2
230;24
231;10
232;23
233;17
234;17
235;28
236;29
237;29
238;23
239;10
240;27
241;24
242;10
243;10
244;1
245;20
246;26
247;17
248;29
249;10
250;25
251;1
252;15
253;10
254;2
255;23
256;26
257;1
258;24
259;26
260;24
261;29
262;2
263;26
264;17
265;17
266;28
267;17
268;24
269;2
270;25
271;10
272;17
273;20
274;28
275;28
276;24
277;15
278;10
279;15
280;17
281;19
282;28
283;1
284;2
285;19
286;26
287;19
288;22
289;22
290;22
291;10
292;17
293;2
294;20
295;1
296;26
297;25
298;1
299;19
300;27
301;10
302;23
303;15
304;15
305;27
306;20
307;25
308;28
309;28
310;10
311;28
312;26
313;2
314;25
315;25
316;17
317;17
318;29
319;20
320;17
321;2
322;28
323;17
324;24
325;10
326;27
327;20
328;20
329;29
330;10
331;19
332;27
333;17
334;15
335;24
336;20
337;22
338;29
339;20
340;2
341;20
342;17
343;15
344;15
345;10
346;20
347;22
348;1
349;26
350;17
351;1
352;15
353;20
354;25
355;24
356;1
357;26
358;27
359;24
360;20
361;1
362;24
363;17
364;10
365;2
366;17
367;20
368;25
369;28
370;10
371;26
372;15
373;17
374;2
375;17
376;23
377;10
378;17
379;27
380;2
381;2
382;17
383;22
384;10
385;22
386;26
387;17
388;26
389;20
390;2
391;19
392;24
393;10
394;1
395;28
396;26
397;28
398;17
399;23
400;1
401;10
402;27
403;20
404;25
405;22
406;1
407;15
408;17
409;28
410;29
411;17
412;28
413;22
414;20
415;23
416;24
417;22
418;1
419;17
420;28
421;27
422;28
423;26
424;28
425;22
426;1
427;17
428;23
429;2
430;25
431;26
432;22
433;28
434;2
435;15
436;26
437;19
438;27
439;19
440;10
441;22
442;19
443;2
444;10
445;17
446;17
447;26
448;15
449;24
450;20
451;15
452;22
453;20
454;19
455;24
456;25
457;20
458;10
459;1
460;1
461;15
462;26
463;24
464;17
465;10
466;20
467;15
468;10
469;2
470;17
471;28
472;20
473;17
474;15
475;17
476;10
477;10
478;1
479;25
480;19
481;1
482;26
483;1
484;15
485;17
486;29
487;26
488;10
489;25
490;29
491;23
492;1
493;22
