id;video_category_id
1;2
2;15
3;27
4;15
5;20
6;29
7;20
8;15
9;10
10;17
11;10
12;23
13;24
14;26
15;22
16;19
17;2
18;22
19;19
20;23
21;25
22;23
23;15
24;19
25;10
26;17
27;20
28;10
29;10
30;17
31;26
32;15
33;1
34;23
35;19
36;23
37;25
38;10
39;23
40;28
41;17
42;26
43;2
44;25
45;26
46;2
47;15
48;17
49;26
50;17
51;26
52;22
53;29
54;24
55;26
56;10
57;10
58;17
59;1
60;29
61;29
62;15
63;10
64;23
65;25
66;23
67;20
68;20
69;10
70;23
71;23
72;27
73;22
74;22
75;25
76;10
77;28
78;24
79;1
80;10
81;15
82;1
83;29
84;19
85;26
86;20
87;1
88;10
89;2
90;20
91;20
92;23
93;1
94;23
95;23
96;1
97;1
98;2
99;20
100;10
101;24
102;17
103;10
104;19
105;28
106;24
107;17
108;17
109;17
110;26
111;2
112;22
113;10
114;28
115;15
116;29
117;10
118;17
119;10
120;10
121;29
122;28
123;10
124;17
125;25
126;27
127;28
128;17
129;24
130;25
131;23
132;27
133;22
134;23
135;26
136;22
137;17
138;10
139;20
140;23
141;25
142;1
143;25
144;20
145;29
146;24
147;1
148;23
149;2
150;10
151;20
152;1
153;23
154;23
155;25
156;2
157;28
158;10
159;23
160;10
161;10
162;2
163;17
164;27
165;28
166;23
167;10
168;1
169;20
170;15
171;23
172;26
173;25
174;23
175;1
176;1
177;20
178;17
179;10
180;29
181;23
182;20
183;15
184;26
185;27
186;10
187;20
188;1
189;1
190;23
191;20
192;25
193;28
194;23
195;15
196;20
197;23
198;27
199;20
200;27
201;25
202;23
203;28
204;2
205;29
206;20
207;28
208;2
209;26
210;28
211;10
212;2
213;17
214;17
215;28
216;23
217;19
218;29
219;27
220;26
221;29
222;28
223;17
224;20
225;10
226;15
227;20
228;2
229;2
230;20
231;10
232;26
233;17
234;17
235;28
236;29
237;24
238;28
239;10
240;28
241;24
242;10
243;10
244;1
245;20
246;29
247;17
248;25
249;10
250;29
251;23
252;15
253;10
254;2
255;23
256;26
257;23
258;1
259;29
260;24
261;29
262;2
263;26
264;17
265;17
266;23
267;25
268;22
269;2
270;29
271;10
272;15
273;20
274;23
275;19
276;1
277;15
278;10
279;15
280;17
281;26
282;1
283;26
284;2
285;19
286;23
287;10
288;22
289;26
290;19
291;10
292;17
293;2
294;20
295;1
296;26
297;19
298;1
299;19
300;10
301;10
302;26
303;15
304;15
305;25
306;20
307;10
308;23
309;28
310;10
311;10
312;26
313;2
314;25
315;25
316;17
317;23
318;29
319;20
320;17
321;19
322;28
323;17
324;28
325;10
326;28
327;20
328;20
329;29
330;10
331;25
332;29
333;17
334;15
335;1
336;20
337;10
338;25
339;20
340;2
341;20
342;17
343;15
344;20
345;10
346;20
347;27
348;1
349;26
350;17
351;1
352;15
353;20
354;25
355;10
356;1
357;28
358;23
359;22
360;20
361;1
362;10
363;17
364;10
365;2
366;17
367;20
368;23
369;28
370;10
371;26
372;15
373;17
374;2
375;17
376;23
377;23
378;17
379;27
380;2
381;17
382;23
383;23
384;23
385;26
386;26
387;17
388;26
389;20
390;2
391;22
392;23
393;10
394;10
395;28
396;17
397;26
398;23
399;23
400;10
401;10
402;26
403;20
404;2
405;29
406;10
407;23
408;17
409;28
410;23
411;17
412;28
413;22
414;20
415;23
416;29
417;10
418;20
419;17
420;28
421;27
422;29
423;26
424;1
425;26
426;1
427;23
428;23
429;2
430;25
431;22
432;22
433;23
434;2
435;15
436;26
437;22
438;27
439;23
440;10
441;23
442;10
443;2
444;10
445;17
446;17
447;23
448;15
449;23
450;20
451;15
452;29
453;20
454;19
455;23
456;25
457;20
458;10
459;1
460;1
461;15
462;26
463;24
464;17
465;10
466;10
467;15
468;10
469;2
470;23
471;28
472;20
473;17
474;15
475;17
476;10
477;10
478;10
479;25
480;26
481;23
482;26
483;1
484;23
485;17
486;29
487;26
488;10
489;25
490;25
491;23
492;1
493;22
494;2
495;17
496;29
497;19
498;23
499;17
500;19
501;20
502;27
503;25
504;23
505;23
506;25
507;22
508;23
509;20
510;23
511;28
512;23
513;25
514;25
515;10
516;23
517;10
518;25
519;10
520;27
521;20
522;23
523;20
524;24
525;23
526;17
527;20
528;10
529;29
530;22
531;10
532;10
533;23
534;20
535;26
536;20
537;1
538;29
539;1
540;20
541;25
542;15
543;10
544;20
545;17
546;28
547;23
548;10
549;28
550;23
551;15
552;26
553;10
554;10
555;29
556;25
557;20
558;23
559;17
560;23
561;23
562;25
